vintage_id,prior_vintage_id,wasde_number,report_date,report_label,effective_at_utc,available_at_utc,region,market_year,attribute,normalized_unit,value,prior_value,revision,source_version,is_corrected_repost
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2024/25,Beginning Stocks,"1000 Metric Tons, Actual Weight",1418,1418,0,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2024/25,Domestic,"1000 Metric Tons, Actual Weight",4553,4614,-61,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2024/25,Ending Stocks,"1000 Metric Tons, Actual Weight",1071,1081,-10,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2024/25,Exports,"1000 Metric Tons, Actual Weight",743,723,20,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2024/25,Imports,"1000 Metric Tons, Actual Weight",175,189,-14,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2024/25,Production,"1000 Metric Tons, Actual Weight",4774,4811,-37,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2025/26,Beginning Stocks,"1000 Metric Tons, Actual Weight",1071,1081,-10,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2025/26,Domestic,"1000 Metric Tons, Actual Weight",4569,4569,0,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2025/26,Ending Stocks,"1000 Metric Tons, Actual Weight",1081,1081,0,WASDE-661-V1,false
WASDE-661-V1:141438d7c714,WASDE-660-V1:3a6282552187,661,2025-06-12,June 2025,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,Mexico,2025/26,Exports,"1000 Metric Tons, Actual Weight",657,667,-10,WASDE-661-V1,false
