vintage_id,wasde_number,report_date,report_label,effective_at_utc,available_at_utc,available_at_basis,retrieved_at_utc,source_version,is_corrected_repost,source_id,source_url,source_sha256,report_title,commodity,region,market_year,projection_status,attribute,raw_value,value,raw_unit,normalized_unit,unit_warning
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2024/25,Est.,Beginning Stocks,1418.00,1418,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2024/25,Est.,Domestic,4614.00,4614,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2024/25,Est.,Ending Stocks,1081.00,1081,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2024/25,Est.,Exports,723.00,723,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2024/25,Est.,Imports,189.00,189,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2024/25,Est.,Production,4811.00,4811,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2025/26,Proj.,Beginning Stocks,1081.00,1081,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2025/26,Proj.,Domestic,4569.00,4569,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2025/26,Proj.,Ending Stocks,1081.00,1081,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
WASDE-660-V1:3a6282552187,660,2025-05-12,May 2025,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,usda_wasde_660_v1_3a6282552187,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption,Sugar,Mexico,2025/26,Proj.,Exports,667.00,667,"1000 Metric Tons, Actual Weight","1000 Metric Tons, Actual Weight",
