report_date,release_date,release_time,release_timezone,available_at_utc,verification_basis,source_url,source_sha256,source_bytes,retrieved_at_utc
2012-09-25,2012-09-28,15:30,America/New_York,2012-09-28T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2012/futures/ag_sf092512.htm,7271311818fce8d3cce98d78580dafbeb1c229cc27fe69e1e8403b40d0429672,50332,2026-08-20T16:17:21Z
2012-12-24,2012-12-28,15:30,America/New_York,2012-12-28T20:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2012/futures/ag_sf122412.htm,b09acdf64cfea7af3e3332ca08e47b958f83b0eb60adc78691e31c45cbb6280c,47948,2026-08-20T16:17:21Z
2013-04-16,2013-04-19,15:30,America/New_York,2013-04-19T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf041613.htm,c70fd69891d9174ea6fd9d32f681b80d6df49d59ff5e7ae8d01054b565fd8c32,50328,2026-08-20T16:17:21Z
2013-07-23,2013-07-26,15:30,America/New_York,2013-07-26T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf072313.htm,869246920b562ef9ec52ef5ee9b9c567e1e7c39dcb343e6502bb34a885912a32,50330,2026-08-20T16:17:21Z
2014-02-04,2014-02-07,15:30,America/New_York,2014-02-07T20:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2014/futures/ag_sf020414.htm,a2cbe94c0bb6f0dd4b877e7e84f7089ef5962f4d8a802271efce648c728e5ac3,55099,2026-08-20T16:17:21Z
2014-10-07,2014-10-10,15:30,America/New_York,2014-10-10T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2014/futures/ag_sf100714.htm,db41b6cef6f175df55e2d1b291e7194d39e0e70dc3476b69ca60e6a47923eaa8,57482,2026-08-20T16:17:21Z
2015-01-06,2015-01-09,15:30,America/New_York,2015-01-09T20:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2015/futures/ag_sf010615.htm,493a1ae12db5a3cb81a7a09c5109817015ffa59a0e49efa61b4ea6ed35d564d8,52715,2026-08-20T16:17:21Z
2015-04-14,2015-04-17,15:30,America/New_York,2015-04-17T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2015/futures/ag_sf041415.htm,1bcc4d1598030cd0fa9ed749c7bb324e19a9181dcad0f481e40782dad95178ff,57480,2026-08-20T16:17:21Z
2015-08-04,2015-08-07,15:30,America/New_York,2015-08-07T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2015/futures/ag_sf080415.htm,7018ac689ae3935506872682e6bd91869800b8f9f378b9d7bacdce75d1f8e1a9,57480,2026-08-20T16:17:21Z
2017-07-18,2017-07-21,15:30,America/New_York,2017-07-21T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2017/futures/ag_sf071817.htm,d5cdea4cad43f4f3bea2674d62df1cfe7a0155c31f7f6dfe52a6771cb4768e14,57479,2026-08-20T16:17:21Z
2017-10-31,2017-11-03,15:30,America/New_York,2017-11-03T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2017/futures/ag_sf103117.htm,12fc060bd533fd1d29d14c86e28547d95196822fae60023850976bb5c28e8671,55099,2026-08-20T16:17:21Z
2018-02-06,2018-02-09,15:30,America/New_York,2018-02-09T20:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2018/futures/ag_sf020618.htm,cd541a9820b2f226393eda170b2bb8c10762a1adc889c9aef095c7d731506328,57482,2026-08-20T16:17:21Z
2018-05-15,2018-05-18,15:30,America/New_York,2018-05-18T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2018/futures/ag_sf051518.htm,42861e8411a3f3db3fc5af81fb80cd3477a1a5fe452600dcea42271d07d2a1cd,59847,2026-08-20T16:17:21Z
2018-09-11,2018-09-14,15:30,America/New_York,2018-09-14T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2018/futures/ag_sf091118.htm,15cea5a0ceaffaf2a6cfb0ed67c69c457000c1ba2c84f018b021498102c55732,69385,2026-08-20T16:17:21Z
2019-03-19,2019-03-22,15:30,America/New_York,2019-03-22T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2019/futures/ag_sf031919.htm,1d22e32a4b2c3c154baac0ff6910c592951fb03fbb61fe8d8bd1c354a5adbb81,69385,2026-08-20T16:17:21Z
2019-06-18,2019-06-21,15:30,America/New_York,2019-06-21T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2019/futures/ag_sf061819.htm,a8777c856a3b57f05df81a2e55aceaaa77b0b048b91d98c2de3094fafb4f142a,74150,2026-08-20T16:17:21Z
2019-09-24,2019-09-27,15:30,America/New_York,2019-09-27T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2019/futures/ag_sf092419.htm,a85d5681b5a7e54300be513e20579d3d02a181b837176fceffef3ed5b08ccf2e,69389,2026-08-20T16:17:21Z
2025-07-08,2025-07-11,15:30,America/New_York,2025-07-11T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2025/futures/ag_sf070825.htm,bb7aa7f5df35ffc83e4f924efd30214c77acc654f4eacaf5d61d42af7c8a8038,57469,2026-08-20T16:17:21Z
2025-09-30,2025-11-19,15:30,America/New_York,2025-11-19T20:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2025/futures/ag_sf093025.htm,0a79063c321baf6528dc7e514b3041a76e2c3984c0ec766798d07a2d973b6b50,59856,2026-08-20T16:17:21Z
2026-03-10,2026-03-13,15:30,America/New_York,2026-03-13T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2026/futures/ag_sf031026.htm,e51a5f14f2c79c2a13bd7943ceab92add27c48bbdb783125d58492625e0d35cd,57470,2026-08-20T16:17:21Z
2026-06-30,2026-07-06,15:30,America/New_York,2026-07-06T19:30:00Z,official_weekly_page_updated_footer_plus_standing_1530_et_policy,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2026/futures/ag_sf063026.htm,5c4619cb33e9e8796a9081933356d2fabec08e3e3d2758299cafb9f0fa5ec12f,62235,2026-08-20T16:17:21Z
