report_date,release_date,release_time,release_timezone,reason,source_url
2025-01-07,2025-01-13,15:30,America/New_York,National Day of Mourning delay,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-09-30,2025-11-19,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-10-07,2025-11-21,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-10-14,2025-11-25,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-10-21,2025-12-02,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-10-28,2025-12-05,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-11-04,2025-12-09,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-11-10,2025-12-10,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-11-18,2025-12-12,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-11-25,2025-12-15,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-12-02,2025-12-17,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-12-09,2025-12-19,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-12-16,2025-12-23,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
2025-12-23,2025-12-29,15:30,America/New_York,2025 lapse-in-appropriations catch-up schedule,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm
