report_date,release_date,release_time,release_timezone,availability_kind,availability_basis,reason,source_url
2009-11-24,2009-11-30,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2009/futures/ag_sf112409.htm
2009-12-22,2009-12-28,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2009/futures/ag_sf122209.htm
2010-11-09,2010-11-15,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2010/futures/ag_sf110910.htm
2010-11-23,2010-11-29,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2010/futures/ag_sf112310.htm
2010-12-21,2010-12-27,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2010/futures/ag_sf122110.htm
2010-12-28,2011-01-03,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2010/futures/ag_sf122810.htm
2011-11-08,2011-11-14,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2011/futures/ag_sf110811.htm
2011-11-22,2011-11-28,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2011/futures/ag_sf112211.htm
2012-11-20,2012-11-26,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2012/futures/ag_sf112012.htm
2012-11-27,2012-12-05,15:30,America/New_York,current_snapshot_correction,cftc_current_snapshot_correction_exact,current official snapshot reflects account-transfer classification correction published at stated time,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2012/futures/ag_sf112712.htm
2013-07-02,2013-07-08,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf070213.htm
2013-10-01,2013-10-25,15:30,America/New_York,verified_release,cftc_official_shutdown_catch_up_verified,2013 federal shutdown catch-up release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf100113.htm
