report_date,cftc_contract_market_code,market_and_exchange_names,open_interest_contracts,managed_money_long_contracts,managed_money_short_contracts,managed_money_spread_contracts,contract_units_original,report_type
2009-09-01,080732,SUGAR NO. 11 - ICE FUTURES U.S.,864670,148958,24138,53673,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-09-08,080732,SUGAR NO. 11 - ICE FUTURES U.S.,852078,143476,32562,47576,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-09-15,080732,SUGAR NO. 11 - ICE FUTURES U.S.,824750,140762,28969,45142,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-09-22,080732,SUGAR NO. 11 - ICE FUTURES U.S.,800087,144947,26519,40437,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-09-29,080732,SUGAR NO. 11 - ICE FUTURES U.S.,784699,151162,19614,43762,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-10-06,080732,SUGAR NO. 11 - ICE FUTURES U.S.,771265,155912,29257,38968,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-10-13,080732,SUGAR NO. 11 - ICE FUTURES U.S.,760540,139500,39276,34970,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-10-20,080732,SUGAR NO. 11 - ICE FUTURES U.S.,774878,141234,32852,35842,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-10-27,080732,SUGAR NO. 11 - ICE FUTURES U.S.,774344,136185,32591,40233,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-11-03,080732,SUGAR NO. 11 - ICE FUTURES U.S.,782075,134094,31957,44747,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-11-09,080732,SUGAR NO. 11 - ICE FUTURES U.S.,764367,126272,36118,45961,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-11-17,080732,SUGAR NO. 11 - ICE FUTURES U.S.,770553,123049,41550,45249,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-11-24,080732,SUGAR NO. 11 - ICE FUTURES U.S.,773085,124250,38840,49168,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-12-01,080732,SUGAR NO. 11 - ICE FUTURES U.S.,780288,127682,32825,50158,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-12-08,080732,SUGAR NO. 11 - ICE FUTURES U.S.,785811,131625,35660,49984,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-12-15,080732,SUGAR NO. 11 - ICE FUTURES U.S.,819140,155731,28092,51811,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-12-22,080732,SUGAR NO. 11 - ICE FUTURES U.S.,836284,166582,26319,56205,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2009-12-29,080732,SUGAR NO. 11 - ICE FUTURES U.S.,832552,160000,27234,53640,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-01-05,080732,SUGAR NO. 11 - ICE FUTURES U.S.,842341,159904,25197,56701,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-01-12,080732,SUGAR NO. 11 - ICE FUTURES U.S.,840620,162273,21919,59851,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-01-19,080732,SUGAR NO. 11 - ICE FUTURES U.S.,839354,169316,18889,58246,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-01-26,080732,SUGAR NO. 11 - ICE FUTURES U.S.,847442,169745,14370,45601,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-02-02,080732,SUGAR NO. 11 - ICE FUTURES U.S.,877992,170735,10820,50562,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-02-09,080732,SUGAR NO. 11 - ICE FUTURES U.S.,859532,147744,14462,47332,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-02-16,080732,SUGAR NO. 11 - ICE FUTURES U.S.,829147,149504,6790,48452,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-02-23,080732,SUGAR NO. 11 - ICE FUTURES U.S.,775106,148347,12917,47659,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-03-02,080732,SUGAR NO. 11 - ICE FUTURES U.S.,741206,132961,13015,44216,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
2010-03-09,080732,SUGAR NO. 11 - ICE FUTURES U.S.,754199,137233,25832,30455,"(CONTRACTS OF 112,000 POUNDS)",FutOnly
