source_id,source_type,provider,source_url,landing_page_url,public_path,source_effective_at_utc,available_at_utc,available_at_basis,retrieved_at_utc,source_version,is_corrected_repost,upstream_byte_count,upstream_sha256,public_byte_count,public_sha256,extract_method,rights_note,notes
cftc_cot_release_schedule_2026_08,cftc_release_calendar,U.S. Commodity Futures Trading Commission,https://www.cftc.gov/MarketReports/CommitmentsofTraders/ReleaseSchedule/index.htm,https://www.cftc.gov/MarketReports/CommitmentsofTraders/ReleaseSchedule/index.htm,data/raw/cftc/cftc-cot-release-schedule-through-2026-08-14.csv,,,official CFTC schedule/announcement factual extract,2026-08-20T11:22:31Z,retrieved-2026-08-20,false,48667,9bad1242474855b890e35414d15ffdffe3c10e67fd1244b3cdee8cd615544f22,4474,bb47adbaa7ddf50e8a12898b2adfe2b748bec41fc4024a96d536fb43a75e6bbb,retained official factual calendar extract,U.S. federal government work; public domain,2026 schedule through the report dated 2026-08-11
cftc_cot_special_announcements_2026_08,cftc_release_calendar,U.S. Commodity Futures Trading Commission,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalSpecialAnnouncements/index.htm,data/raw/cftc/cftc-cot-special-release-facts-2025-2026.csv,,,official CFTC schedule/announcement factual extract,2026-08-20T11:22:31Z,retrieved-2026-08-20,false,125751,e168a42ae1143c9381ae78452cc872541d97e6f986396d1ed10344ba1abcb77a,2703,290961ab70b988c11d6d85cb006272d2e5b8afa6e5d9e62dcca6915322c85361,retained official factual calendar extract,U.S. federal government work; public domain,2025 special delay and lapse-in-appropriations catch-up dates
cftc_sugar_no11_selected_history_e1eadfec2053,cftc_selected_history,U.S. Commodity Futures Trading Commission,https://publicreporting.cftc.gov/resource/72hh-3qpy.json?%24select=report_date_as_yyyy_mm_dd%2Ccftc_contract_market_code%2Cmarket_and_exchange_names%2Copen_interest_all%2Cm_money_positions_long_all%2Cm_money_positions_short_all%2Cm_money_positions_spread%2Ccontract_units%2Cfutonly_or_combined&%24where=cftc_contract_market_code%3D%27080732%27+AND+report_date_as_yyyy_mm_dd%3E%3D%272009-09-01T00%3A00%3A00.000%27+AND+report_date_as_yyyy_mm_dd%3C%3D%272026-08-11T00%3A00%3A00.000%27&%24order=report_date_as_yyyy_mm_dd&%24limit=5000,https://www.cftc.gov/MarketReports/CommitmentsofTraders/HistoricalCompressed/index.htm,data/raw/cftc/sugar-no11-selected-history-e1eadfec2053.csv,,,row-level release eligibility is computed from official exceptions or the stated ordinary rule,2026-08-20T15:50:03Z,current-history-snapshot,false,334323,009420d084887f77eb399de15bd481b43335fd6d2d9c4703ee82ca882bb3dd4c,103551,e1eadfec20535920e28d87b1a02245d9241765f4ae199f31c25d130fdaf7d93a,scripts/acquire.py::_cftc_extract,U.S. federal government work; public domain,Selected futures-only facts from live-classification-era history beginning 2009-09-01. Current official history is not a full value-vintage archive.
usda_wasde_660_v1_3a6282552187,usda_wasde_sugar_snapshot,U.S. Department of Agriculture,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-05.csv,https://www.usda.gov/historical-wasde-report-data-3,data/raw/usda/oce-wasde-report-data-2025-05-sugar-3a6282552187.csv,2025-05-12T16:00:00Z,2025-05-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-660-V1,false,957445,4c08fdf3657a854d2100bb7dfead186fb1ea26be208e137c52619707cc060987,15707,3a6282552187f6e7feadf0f921d199231a8570be519e38220c405848be29619e,scripts/acquire.py::_usda_extract,U.S. federal government work; public domain,May 2025; selected U.S. and Mexico annual sugar rows. Individual WASDE publications remain the official record.
usda_wasde_661_v1_141438d7c714,usda_wasde_sugar_snapshot,U.S. Department of Agriculture,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-06.csv,https://www.usda.gov/historical-wasde-report-data-3,data/raw/usda/oce-wasde-report-data-2025-06-sugar-141438d7c714.csv,2025-06-12T16:00:00Z,2025-06-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-661-V1,false,963058,e0bed22b0b08eaa361e16649918952a5b13b388a300c9fc528636ebda7e86924,15785,141438d7c714fd7c86d7e438b3ded925c1d6cf4a14c1ba9f725ef1c7dc95a1ea,scripts/acquire.py::_usda_extract,U.S. federal government work; public domain,June 2025; selected U.S. and Mexico annual sugar rows. Individual WASDE publications remain the official record.
usda_wasde_662_v1_18549967f949,usda_wasde_sugar_snapshot,U.S. Department of Agriculture,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-07.csv,https://www.usda.gov/historical-wasde-report-data-3,data/raw/usda/oce-wasde-report-data-2025-07-sugar-18549967f949.csv,2025-07-11T16:00:00Z,2025-07-13T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-662-V1,false,976568,af215ba7ca48302779756b07a65e29473f86437d6cda9fbe16f1bcd66f83708c,15785,18549967f94987ffc0eb96fed9a868338d40bd23f42f45d663fdc1793ca5d183,scripts/acquire.py::_usda_extract,U.S. federal government work; public domain,July 2025; selected U.S. and Mexico annual sugar rows. Individual WASDE publications remain the official record.
usda_wasde_663_v1_259c387d6910,usda_wasde_sugar_snapshot,U.S. Department of Agriculture,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-08.csv,https://www.usda.gov/historical-wasde-report-data-3,data/raw/usda/oce-wasde-report-data-2025-08-sugar-259c387d6910.csv,2025-08-12T16:00:00Z,2025-08-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-663-V1,false,987928,c3124dcf818a156da19ce03af365c18e0d0eaa3348a03f6188a5d8fdd3da7d8f,15941,259c387d691094debb7919dae46865594496930ed2a035956f75085173621378,scripts/acquire.py::_usda_extract,U.S. federal government work; public domain,August 2025; selected U.S. and Mexico annual sugar rows. Individual WASDE publications remain the official record.
usda_wasde_664_v1_d30b256bdffe,usda_wasde_sugar_snapshot,U.S. Department of Agriculture,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-09.csv,https://www.usda.gov/historical-wasde-report-data-3,data/raw/usda/oce-wasde-report-data-2025-09-sugar-d30b256bdffe.csv,2025-09-12T16:00:00Z,2025-09-14T03:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-664-V1,false,1004960,2e5dfdb0d31f1619ceeba99122369514497c6bfa63522900b89e7af2ae675649,16175,d30b256bdffe4a14f4599abf8511f8f18c9fcb21c9ea39d869051a9634603349,scripts/acquire.py::_usda_extract,U.S. federal government work; public domain,September 2025; selected U.S. and Mexico annual sugar rows. Individual WASDE publications remain the official record.
usda_wasde_665_v1_0d3d5151fa32,usda_wasde_sugar_snapshot,U.S. Department of Agriculture,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-11.csv,https://www.usda.gov/historical-wasde-report-data-3,data/raw/usda/oce-wasde-report-data-2025-11-sugar-0d3d5151fa32.csv,2025-11-14T17:00:00Z,2025-11-16T04:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-665-V1,false,1004315,896385bbf592ec74e9b9b581bc5969597f719b5dbf84d59905cc6cc1c5587156,16180,0d3d5151fa3295b33be84f04941ab287edf7030270136e1a6a2275110379e668,scripts/acquire.py::_usda_extract,U.S. federal government work; public domain,November 2025; selected U.S. and Mexico annual sugar rows. Individual WASDE publications remain the official record.
usda_wasde_666_v1_11bae8cc07de,usda_wasde_sugar_snapshot,U.S. Department of Agriculture,https://www.usda.gov/sites/default/files/documents/oce-wasde-report-data-2025-12.csv,https://www.usda.gov/historical-wasde-report-data-3,data/raw/usda/oce-wasde-report-data-2025-12-sugar-11bae8cc07de.csv,2025-12-09T17:00:00Z,2025-12-11T04:59:59Z,conservative end of next calendar day in America/New_York; USDA says consolidated CSV updates the day after WASDE,2026-08-20T15:50:03Z,WASDE-666-V1,false,1004318,cfad35ab09e17453509606dfa224ebf18af26536220397180c610000160d0188,16181,11bae8cc07de3efb16e2c179dcdfb8da6ddb21121715bd7f60df3a49dbb9f7d2,scripts/acquire.py::_usda_extract,U.S. federal government work; public domain,December 2025; selected U.S. and Mexico annual sugar rows. Individual WASDE publications remain the official record.
